Product name,Brand,Category/type,Ingredients,Size/packaging,Product image URL,Product page URL
"Anua – Heartleaf LHA Moisture Peeling Gel, 120ml",Anua,exfoliants;cleanser,Heartleaf (Houttuynia Cordata) Extract;LHA (Lipo Hydroxy Acid);Panthenol (Vitamin B5);Allantoin;Hyaluronic Acid;Centella Asiatica Extract,120 ml,https://qudobeauty.com/wp-content/uploads/2025/04/anua-us-cleanser-200ml-heartleaf-lha-moisture-peeling-gel-1161189356-300x300.webp,https://qudobeauty.com/product/anua-heartleaf-lha-moisture-peeling-gel-120ml/
"Anua – Rice Enzyme Brightening Cleansing Powder, 40g",Anua,cleanser,Rice Powder & Rice Enzyme Extract;Papain (Enzyme from Papaya);Niacinamide (Vitamin B3);Panthenol (Vitamin B5);Allantoin;Hyaluronic Acid,40 g,https://qudobeauty.com/wp-content/uploads/2025/04/Anua-Rice-Enzyme-Brightening-Cleansing-Powder-40g-300x300.jpg,https://qudobeauty.com/product/anua-rice-enzyme-brightening-cleansing-powder-40g/
Anua – Heartleaf 77% Clear Toner Pads – 160ml,Anua,exfoliants;cleanser,Heartleaf (Houttuynia Cordata) Extract (77%);Centella Asiatica Extract;Panthenol (Vitamin B5);Allantoin;Hyaluronic Acid,160 ml (70 pads),https://qudobeauty.com/wp-content/uploads/2025/04/ANUA_Heartleaf_77_Clear_Pad_grande-300x300.webp,https://qudobeauty.com/product/anua-heartleaf-77-clear-toner-pads-160ml/
"Anua – Heartleaf Quercetinol Pore Deep Cleansing Foam, 150 ml",Anua,cleanser,Heartleaf (Houttuynia Cordata) Extract;Quercetinol (Flavonoid Complex);Panthenol (Vitamin B5);Centella Asiatica Extract;Allantoin;Glycerin,150 ml,https://qudobeauty.com/wp-content/uploads/2025/04/anua-us-cleanser-150ml-heartleaf-quercetinol-pore-deep-cleansing-foam-1161173162-300x300.webp,https://qudobeauty.com/product/anua-heartleaf-quercetinol-pore-deep-cleansing-foam-150-ml/
"APLB – Glutathione Niacinamide Facial Cleanser, 80ml",APLB,cleanser,Glutathione;Niacinamide (Vitamin B3);Panthenol (Vitamin B5);Hyaluronic Acid;Allantoin;Adenosine,80 ml,https://qudobeauty.com/wp-content/uploads/2025/04/res_1378ca8c16a4c7bdec29f75ef7e28d36-300x300.avif,https://qudobeauty.com/product/aplb-glutathione-niacinamide-facial-cleanser-80-ml/
"AXIS-Y – Quinoa One Step Balanced Gel Cleanser, 180ml",AXIS-Y,cleanser,Quinoa Extract;Centella Asiatica Extract;Green Tea Extract;Calendula Extract;Aloe Vera Leaf Extract;Hyaluronic Acid,180 ml,https://qudobeauty.com/wp-content/uploads/2025/04/buy-axis-y-quinoa-one-step-balanced-gel-cleanser-180ml-at-lila-beauty-korean-and-japanese-beauty-skin-care-810850-300x300.webp,https://qudobeauty.com/product/axis-y-quinoa-one-step-balanced-gel-cleanser-180ml/
"AXIS-Y – Biome Resetting Moringa Cleansing Oil, 200ml",AXIS-Y,cleanser,Moringa Oleifera Seed Oil;Jojoba Seed Oil;Sunflower Seed Oil;Centella Asiatica Extract;Green Tea Extract;Probiotics + Prebiotics (Biome Complex),200 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Axis-Y-Biome-Resetting-Moringa-Cleansing-Oil-200ml-300x300.jpg,https://qudobeauty.com/product/axis-y-gesicht-reinigung-biome-resetting-moringa-cleansing-oil-200-ml/
"Beauty of Joseon – Red Bean Water Gel, 100ml",Beauty of Joseon,exfoliants;cleanser,Red Bean Extract (Haenam Red Bean 44%);Peptide Complex;Niacinamide (Vitamin B3);Panthenol (Vitamin B5);Hyaluronic Acid;Allantoin,100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/K-Beauty-of-Joseon-Red-Bean-Water-Gel-100ml-mit-EAN-8809738316993-300x300.webp,https://qudobeauty.com/product/beauty-of-joseon-red-bean-water-gel-100-ml/
"Beauty of Joseon – Radiance Cleansing Balm, 100ml",Beauty of Joseon,cleanser,Rice Bran Water (30%);Fermented Grain Extracts;Oat Kernel Oil;Jojoba Seed Oil;Ginseng Seed Oil;Tocopherol (Vitamin E),100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/beauty-of-joseon-balsamo-desmaquillante-radiance-1-84657-300x300.webp,https://qudobeauty.com/product/beauty-of-joseon-radiance-cleansing-balm-100-ml/
"Beauty of Joseon – Green Plum Refreshing Cleanser, 100ml",Beauty of Joseon,cleanser,Green Plum Water (24%);Mung Bean Seed Extract (3%);Centella Asiatica Extract;Houttuynia Cordata Extract (Heartleaf);Panthenol (Vitamin B5),100 ml,https://qudobeauty.com/wp-content/uploads/2025/04/K-Beauty-of-Joseon-Green-Plum-Refreshing-Cleanser-mit-EAN-8809738314678-300x300.webp,https://qudobeauty.com/product/beauty-of-joseon-green-plum-refreshing-cleanser-100ml/
